filename,numberOfTapNotes,numberOfHoldNotes,numberOfSlideNotes,numberOfTouchNotes,numberOfBreakNotes,numberOfExNotes,numberOfTotalNotes,numberOfAllTapNotes,Density,totalPlayerLength,breakScoreValue
000000_00.txt,0,9,0,11,0,7,20,9,0.46,43.36,0
000001_00.txt,13,8,4,4,2,2,31,23,0.57,54.45,0.25
000008_00.txt,63,23,8,0,2,0,96,88,1.8,53.2,0.25
000008_01.txt,85,27,6,0,4,0,122,116,3.53,34.6,0.12
000008_02.txt,110,56,9,0,2,0,177,168,5.42,32.63,0.25
000008_03.txt,263,14,19,0,6,0,302,283,13.52,22.33,0.08
000009_00.txt,73,1,19,0,2,0,95,76,2.05,46.38,0.25
000009_01.txt,89,39,8,0,7,0,143,135,3.97,36.01,0.07
000009_02.txt,109,5,31,0,8,0,153,122,6.41,23.88,0.06
000009_03.txt,148,13,49,0,3,0,213,164,16.34,13.03,0.17
000017_00.txt,183,0,3,0,2,0,188,185,6.68,28.15,0.25
000017_01.txt,178,16,12,0,4,0,210,198,7.58,27.69,0.12
000017_02.txt,284,12,5,0,3,0,304,299,14.48,21.0,0.17
000017_03.txt,226,18,33,0,9,0,286,253,11.92,24.0,0.06
000017_04.txt,238,4,128,0,126,0,496,368,16.79,29.54,0.0
000018_00.txt,91,33,4,0,2,0,130,126,2.66,48.89,0.25
000018_01.txt,150,23,21,0,4,0,198,177,3.45,57.35,0.12
000018_02.txt,104,61,16,0,3,0,184,168,4.12,44.67,0.17
000018_03.txt,91,51,51,0,5,0,198,147,4.55,43.56,0.1
000022_00.txt,135,2,4,0,1,0,142,138,5.52,25.71,0.5
000022_01.txt,200,10,8,0,3,0,221,213,14.63,15.11,0.17
000022_02.txt,320,1,3,0,2,0,326,323,20.7,15.75,0.25
000022_03.txt,328,28,17,0,7,0,380,363,29.8,12.75,0.07
000022_04.txt,764,0,92,0,15,0,871,779,100.36,8.68,0.03
000023_00.txt,114,8,3,0,1,0,126,123,3.07,41.04,0.5
000023_01.txt,139,26,2,0,1,0,168,166,5.26,31.92,0.5
000023_02.txt,182,34,2,0,5,0,223,221,7.07,31.56,0.1
000023_03.txt,201,31,39,0,6,0,277,238,11.6,23.88,0.08
000023_04.txt,341,89,109,0,16,0,555,446,32.8,16.92,0.03
000024_00.txt,100,3,1,0,2,0,106,105,3.79,27.94,0.25
000024_01.txt,175,10,1,0,4,0,190,189,11.23,16.91,0.12
000024_02.txt,201,16,5,0,3,0,225,220,14.3,15.74,0.17
000024_03.txt,278,11,16,0,11,0,316,300,25.28,12.5,0.05
000024_04.txt,381,72,29,0,53,0,535,506,73.25,7.3,0.01
000025_00.txt,135,7,5,0,4,0,151,146,5.19,29.11,0.12
000025_01.txt,195,16,10,0,2,0,223,213,6.52,34.2,0.25
000025_02.txt,181,35,20,0,2,0,238,218,7.48,31.82,0.25
000025_03.txt,343,23,12,0,9,0,387,375,27.91,13.86,0.06
000027_00.txt,91,6,5,0,3,0,105,100,2.04,51.56,0.17
000027_01.txt,165,6,9,0,10,0,190,181,4.81,39.51,0.05
000027_02.txt,207,43,6,0,7,0,263,257,17.05,15.43,0.07
000027_03.txt,279,38,21,0,15,0,353,332,24.89,14.18,0.03
