filename,numberOfTapNotes,numberOfHoldNotes,numberOfSlideNotes,numberOfTouchNotes,numberOfBreakNotes,numberOfExNotes,numberOfTotalNotes,numberOfAllTapNotes,Density,totalPlayerLength,breakScoreValue
000000_00.txt,0,9,0,11,0,7,20,9,0.15,133.11,0
000001_00.txt,13,8,4,4,2,2,31,23,0.15,209.75,0.25
000008_00.txt,63,23,8,0,2,0,96,88,1.0,96.0,0.25
000008_01.txt,85,27,6,0,4,0,122,116,1.14,107.2,0.12
000008_02.txt,110,56,9,0,2,0,177,168,1.81,97.6,0.25
000008_03.txt,263,14,19,0,6,0,302,283,3.37,89.6,0.08
000009_00.txt,73,1,19,0,2,0,95,76,1.03,91.91,0.25
000009_01.txt,89,39,8,0,7,0,143,135,1.38,103.4,0.07
000009_02.txt,109,5,31,0,8,0,153,122,1.2,127.66,0.06
000009_03.txt,148,13,49,0,3,0,213,164,2.33,91.28,0.17
000017_00.txt,183,0,3,0,2,0,188,185,1.92,97.85,0.25
000017_01.txt,178,16,12,0,4,0,210,198,2.14,98.08,0.12
000017_02.txt,284,12,5,0,3,0,304,299,3.13,97.15,0.17
000017_03.txt,226,18,33,0,9,0,286,253,2.88,99.23,0.06
000017_04.txt,238,4,128,0,126,0,496,368,4.13,120.0,0.0
000018_00.txt,91,33,4,0,2,0,130,126,1.2,108.44,0.25
000018_01.txt,150,23,21,0,4,0,198,177,1.83,108.44,0.12
000018_02.txt,104,61,16,0,3,0,184,168,1.73,106.67,0.17
000018_03.txt,91,51,51,0,5,0,198,147,1.77,112.0,0.1
000022_00.txt,135,2,4,0,1,0,142,138,1.45,97.71,0.5
000022_01.txt,200,10,8,0,3,0,221,213,2.27,97.5,0.17
000022_02.txt,320,1,3,0,2,0,326,323,3.18,102.64,0.25
000022_03.txt,328,28,17,0,7,0,380,363,3.71,102.54,0.07
000022_04.txt,764,0,92,0,15,0,871,779,8.63,100.93,0.03
000023_00.txt,114,8,3,0,1,0,126,123,1.19,105.6,0.5
000023_01.txt,139,26,2,0,1,0,168,166,1.51,111.12,0.5
000023_02.txt,182,34,2,0,5,0,223,221,2.06,108.0,0.1
000023_03.txt,201,31,39,0,6,0,277,238,2.62,105.6,0.08
000023_04.txt,341,89,109,0,16,0,555,446,5.56,99.84,0.03
000024_00.txt,100,3,1,0,2,0,106,105,1.02,103.53,0.25
000024_01.txt,175,10,1,0,4,0,190,189,1.85,102.94,0.12
000024_02.txt,201,16,5,0,3,0,225,220,2.2,102.35,0.17
000024_03.txt,278,11,16,0,11,0,316,300,3.07,102.94,0.05
000024_04.txt,381,72,29,0,53,0,535,506,5.32,100.59,0.01
000025_00.txt,135,7,5,0,4,0,151,146,1.51,100.02,0.12
000025_01.txt,195,16,10,0,2,0,223,213,2.04,109.32,0.25
000025_02.txt,181,35,20,0,2,0,238,218,2.25,105.91,0.25
000025_03.txt,343,23,12,0,9,0,387,375,3.85,100.45,0.06
000027_00.txt,91,6,5,0,3,0,105,100,1.0,105.0,0.17
000027_01.txt,165,6,9,0,10,0,190,181,1.92,98.9,0.05
000027_02.txt,207,43,6,0,7,0,263,257,2.65,99.38,0.07
000027_03.txt,279,38,21,0,15,0,353,332,3.56,99.02,0.03
000030_00.txt,162,4,7,0,4,0,177,170,1.66,106.32,0.12
000030_01.txt,210,23,4,0,4,0,241,237,2.27,106.32,0.12
000030_02.txt,259,4,10,0,8,0,281,271,3.19,88.07,0.06
000030_03.txt,283,36,11,0,16,0,346,335,3.93,88.07,0.03
000031_00.txt,118,8,7,0,2,0,135,128,1.42,94.93,0.25
000031_01.txt,172,20,8,0,4,0,204,196,2.01,101.51,0.12
000031_02.txt,255,9,14,0,2,0,280,266,3.07,91.16,0.25
000031_03.txt,293,23,12,0,16,0,344,332,3.77,91.16,0.03
000035_00.txt,153,2,3,0,6,0,164,161,1.66,98.57,0.08
000035_01.txt,203,1,12,0,6,0,222,210,2.25,98.57,0.08
000035_02.txt,341,14,11,0,4,0,370,359,3.79,97.5,0.12
000035_03.txt,315,13,22,0,6,0,356,334,3.69,96.43,0.08
000038_00.txt,118,26,2,0,3,0,149,147,1.8,82.68,0.17
000038_01.txt,156,43,5,0,10,0,214,209,2.56,83.45,0.05
000038_02.txt,189,46,11,0,3,0,249,238,2.98,83.45,0.17
000038_03.txt,298,35,10,0,13,0,356,346,4.32,82.39,0.04
000040_00.txt,95,6,3,0,1,0,105,102,1.16,90.46,0.5
000040_01.txt,88,21,7,0,2,0,118,111,1.17,101.08,0.25
000040_02.txt,139,55,14,0,2,0,210,196,2.34,89.77,0.25
000040_03.txt,199,45,17,0,3,0,264,247,2.94,89.65,0.17
000042_00.txt,97,4,4,0,3,0,108,104,1.18,91.4,0.17
000042_01.txt,119,29,4,0,10,0,162,158,1.7,95.13,0.05
000042_02.txt,189,50,11,0,6,0,256,245,2.79,91.64,0.08
000042_03.txt,305,17,21,0,3,0,346,325,3.77,91.87,0.17
000044_00.txt,108,2,1,0,3,0,114,113,1.29,88.35,0.17
000044_01.txt,157,18,6,0,8,0,189,183,2.14,88.35,0.06
000044_02.txt,240,27,9,0,4,0,280,271,3.17,88.35,0.12
000044_03.txt,236,27,30,0,4,0,297,267,3.36,88.35,0.12
000046_00.txt,105,0,7,0,2,0,114,107,1.06,108.0,0.25
000046_01.txt,213,7,3,0,7,0,230,227,2.43,94.5,0.07
000046_02.txt,199,50,5,0,6,0,260,255,2.51,103.5,0.08
000046_03.txt,319,34,14,0,14,0,381,367,4.34,87.84,0.04
000047_00.txt,127,11,12,0,2,0,152,140,1.6,94.74,0.25
000047_01.txt,178,29,5,0,19,0,231,226,2.48,93.16,0.03
000047_02.txt,312,12,20,0,32,0,376,356,3.63,103.58,0.02
000047_03.txt,325,32,50,0,21,0,428,378,3.6,118.74,0.02
000053_00.txt,120,8,4,0,2,0,134,130,1.5,89.1,0.25
000053_01.txt,177,15,6,0,1,0,199,193,2.23,89.1,0.5
000053_02.txt,179,39,8,0,4,0,230,222,2.07,110.95,0.12
000053_03.txt,349,21,1,0,4,0,375,374,4.29,87.39,0.12
000056_00.txt,222,2,4,0,2,0,230,226,2.29,100.53,0.25
000056_01.txt,314,6,12,0,2,0,334,322,3.37,99.07,0.25
000056_02.txt,413,0,5,0,8,0,426,421,4.36,97.61,0.06
000056_03.txt,514,1,11,0,16,0,542,531,5.44,99.62,0.03
000058_00.txt,83,16,5,0,6,0,110,105,0.93,118.31,0.08
000058_01.txt,122,38,9,0,6,0,175,166,1.24,141.02,0.08
000058_02.txt,219,89,30,0,3,0,341,311,2.61,130.77,0.17
000058_03.txt,254,57,75,0,12,0,398,323,3.39,117.36,0.04
